original-domain,domain-name,issuer-name,issuer-country,cert-start,cert-end,cert-duration,fuzzer,http-active,https-active,dns-ns,dns-a,dns-mx,geoip-country,banner-http,ssdeep-score
bell.ca,www.UAT.DeviceHub.store.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,184.150.80.155,,,,
bell.ca,promoprepaidcard.bell.ca,Entrust Inc.,US,2020-10-30,2021-10-30,365,original*,1,1,,18.209.184.68,,,awselb/2.0,0.0
bell.ca,vpnlab1.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,206.47.118.66,,,,
bell.ca,vpnlab2.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,206.47.118.67,,,,
bell.ca,vpnlab3.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,206.47.118.68,,,,
bell.ca,vpnlab4.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,206.47.118.69,,,,
bell.ca,promocarteprepayee.bell.ca,Entrust Inc.,US,2020-10-30,2021-10-30,365,original*,1,1,,18.209.184.68,,,awselb/2.0,0.0
bell.ca,businessapi.qa.bell.ca,Entrust Inc.,US,2020-11-03,2021-11-03,365,original*,0,1,,184.150.209.85,,,,
bell.ca,dsa.tipic.on.bell.ca,Entrust Inc.,US,2020-12-02,2021-12-02,365,original*,0,0,,,,,,
bell.ca,symmetryconnect.int.bell.ca,Entrust Inc.,US,2020-12-02,2021-12-02,365,original*,0,0,,,,,,
bell.ca,bell-iva-en.int.bell.ca,Entrust Inc.,US,2020-12-02,2021-12-02,365,original*,0,0,,,,,,
bell.ca,bell-iva-fr.int.bell.ca,Entrust Inc.,US,2020-12-02,2021-12-02,365,original*,0,0,,,,,,
bell.ca,bell-iva-en-uat.int.bell.ca,Entrust Inc.,US,2020-12-02,2021-10-14,316,original*,0,0,,,,,,
bell.ca,bell-iva-fr-uat.int.bell.ca,Entrust Inc.,US,2020-12-02,2021-10-14,316,original*,0,0,,,,,,
bell.ca,dc5cp1-011.qc.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,,,,,
bell.ca,dmob3e-006.on.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,,,,,
bell.ca,xvu.int.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,,,,,
bell.ca,xvu.on.int.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,,,,,
bell.ca,xvu.qc.int.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,0,,,,,,
bell.ca,911flex.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,1,1,,67.69.237.42,,,BigIP,0.0
bell.ca,api-dev.rcs.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,1,,209.71.214.19,,,,
bell.ca,api.rcs.bell.ca,Entrust Inc.,US,2020-12-01,2021-12-01,365,original*,0,1,,209.71.214.20,,,,
bell.ca,uat.911flex.bell.ca,Entrust Inc.,US,2020-11-30,2021-12-24,389,original*,1,1,,67.69.237.44,,,BigIP,0.0
bell.ca,BEAPP001.iptv.bell.ca,Entrust Inc.,US,2020-11-30,2021-11-24,359,original*,0,0,,10.2.120.17,,,,
bell.ca,TORO03BEAPPLB2.iptv.bell.ca,Entrust Inc.,US,2020-11-30,2021-11-24,359,original*,0,0,,,,,,
bell.ca,gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-30,2021-11-30,365,original*,0,0,,,,,,
bell.ca,qa.gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-30,2021-11-30,365,original*,0,0,,,,,,
bell.ca,staging.gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-30,2021-11-30,365,original*,0,0,,,,,,
bell.ca,dcad78.qc.bell.ca,Entrust Inc.,US,2020-11-30,2021-12-29,394,original*,0,0,,,,,,
bell.ca,dcad77.qc.bell.ca,Entrust Inc.,US,2020-11-30,2021-12-29,394,original*,0,0,,,,,,
bell.ca,fedportal.securitysolutions.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,204.101.198.43,,,,
bell.ca,ipagstaticip-6b0b6fe7-147b-d124-42dd-5b40c144458d.sdsl.bell.ca,Let's Encrypt,US,2020-11-29,2021-02-27,90,original*,1,1,,70.52.247.77,,,Microsoft-IIS/8.5,0.0
bell.ca,advantage.bell.ca,Amazon,US,2020-11-28,2021-12-27,394,original*,1,1,,18.211.115.105,,,,0.0
bell.ca,avantages.bell.ca,Amazon,US,2020-11-28,2021-12-27,394,original*,1,1,,18.211.115.105,,,,0.0
bell.ca,dartevo.bell.ca,Entrust Inc.,US,2020-10-16,2021-10-16,365,original*,0,1,!ServFail,204.101.198.66,,,,
bell.ca,enterprisesolutions.bell.ca,Let's Encrypt,US,2020-11-29,2021-02-27,90,original*,1,1,,35.174.150.168,,,PardotServer,
bell.ca,cafecauserie.bell.ca,Let's Encrypt,US,2020-11-28,2021-02-26,90,original*,1,1,,34.238.46.163,,,openresty,0.0
bell.ca,sapsm.intranet.bell.ca,Entrust Inc.,US,2020-11-27,2021-12-15,383,original*,0,0,,,,,,
bell.ca,poles-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,poles.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.poles-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.poles.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.poles-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.poles.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.visites-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.visites.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.visites-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.visites.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,visites-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,visites.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
